"","n","alphaintercept","beta1","beta2","betaintxn","sigma"
"(Intercept)",10,2.78065474552027,1.65515669082317,2.49780193836269,0.650468304303991,2.10254040542069
"(Intercept)1",10,-1.28630920991105,2.06340741970312,3.7764632886851,0.378186307013707,2.09899801067007
"(Intercept)2",10,7.00419276912063,1.42145114103028,1.08485673554019,0.691611570959236,1.40253646823729
"(Intercept)3",10,3.81514402877997,1.63482577002914,3.98593228552176,0.56496791509363,1.84649225005139
"(Intercept)4",10,5.6610860884011,1.47561519961033,3.54928248796828,0.580417221079929,2.30377929790064
"(Intercept)5",10,4.99883253220405,1.47388966719371,-6.19792500470494,1.19885602344404,2.04469291267198
"(Intercept)6",10,5.69586370689896,1.42638971667114,-2.440855542971,1.03735897146829,1.33362102611407
"(Intercept)7",10,3.07409323557584,1.55814171057822,1.89202009172879,0.799694444337963,1.04341662599009
"(Intercept)8",10,5.20728069495354,1.52364524991029,-3.92328082525012,1.00911734304349,1.69580126173101
"(Intercept)9",10,7.77650046334535,1.36417117086469,7.41614171465381,0.165740303249285,1.71342191730566
"(Intercept)10",30,6.2202038229435,1.44058514771376,0.767859482372095,0.727177251883974,1.57274083568336
"(Intercept)11",30,6.17667808909007,1.37536572856893,-0.257631125226847,0.903390449795407,1.65442654531457
"(Intercept)12",30,4.491831006996,1.52734677452567,2.4922867715606,0.608934378500561,1.82384947674812
"(Intercept)13",30,5.27396318921248,1.45236581851074,0.326467815217038,0.821341652981291,1.25538549606887
"(Intercept)14",30,4.26947324191559,1.53693707902952,0.527317279975363,0.821391288111285,1.47984738141262
"(Intercept)15",30,3.92098181124865,1.63163495148093,1.88036276911725,0.614380638411638,1.42905210763147
"(Intercept)16",30,4.5544055254734,1.61132137809365,1.19336638918658,0.625935297596171,1.29370201551078
"(Intercept)17",30,4.78669213646262,1.53635376752247,1.87722091300235,0.652794604782136,1.22923628673913
"(Intercept)18",30,4.71383228717396,1.49906675803275,2.64908037637682,0.664386444295616,1.57583923002127
"(Intercept)19",30,6.33062864554007,1.40489480051059,-0.441615036254127,0.842123680831738,1.00242878146201
"(Intercept)20",50,6.60979713480143,1.3809401210795,0.440047031521637,0.774544129333913,1.46372566726837
"(Intercept)21",50,4.73584008565604,1.49632790790304,1.95249131718129,0.676638566436334,1.65451685013798
"(Intercept)22",50,6.18301989683579,1.39348366289998,0.769036715424852,0.793737700209216,1.39080306862036
"(Intercept)23",50,3.90063979188649,1.58242350471713,1.36752018698311,0.750176571498377,1.29828063947317
"(Intercept)24",50,4.49649922147155,1.53175716209255,2.27407968591928,0.721311220375498,1.54095743417178
"(Intercept)25",50,4.28901235342306,1.5266388370708,1.5773802500698,0.753372644131227,1.63010797624354
"(Intercept)26",50,5.58206338851171,1.46202149539026,0.31242203569128,0.824265885123679,1.24707286394157
"(Intercept)27",50,6.63246850149494,1.38346307696484,0.879246343597002,0.718226051596858,1.65503050056703
"(Intercept)28",50,4.01280883925981,1.57590681854651,2.23072161219263,0.646597518953256,1.32757110353147
"(Intercept)29",50,4.92420662067304,1.50431672412589,0.449017596348688,0.812751070900881,1.49378666076595
"(Intercept)30",70,6.26064909392332,1.39252320406135,0.323900267763423,0.810169010789395,1.29911585188898
"(Intercept)31",70,3.08157802670894,1.60109342238023,2.69849102685919,0.676521004565427,1.6327146733818
"(Intercept)32",70,5.11511205676534,1.484061791484,0.311816472414585,0.802939267908375,1.42440494321651
"(Intercept)33",70,5.97854719270722,1.43332336453037,-0.610368948704828,0.890003075835573,1.4017499943373
"(Intercept)34",70,4.45787605090417,1.54051523327676,2.6006078888572,0.621933089404631,1.39768536176601
"(Intercept)35",70,5.61581982727191,1.41420202507389,1.84445539160234,0.734926072268936,1.40218086220291
"(Intercept)36",70,4.3243244492541,1.57681072831725,3.10224429277914,0.568717908025102,1.45854448498103
"(Intercept)37",70,4.53712948715043,1.49591577812795,1.74290055634218,0.731079725163624,1.32102332182984
"(Intercept)38",70,4.0527992306549,1.56824004540622,0.728929664959149,0.744274190086004,1.49244448457441
"(Intercept)39",70,5.79967149417088,1.47200471198259,-0.687811839200706,0.834568846432462,1.28415108187554
"(Intercept)40",90,3.89975351636774,1.61938493981603,0.721995811256697,0.710422853913575,1.33149441939094
"(Intercept)41",90,5.48318850137259,1.4414423661864,0.968592977181817,0.774244798023421,1.35853633924964
"(Intercept)42",90,5.25936926201508,1.48153143614017,1.70766461793868,0.684975026809765,1.62934662526742
"(Intercept)43",90,5.38221544765685,1.46239046909672,0.114823906676388,0.832210263579392,1.2957366266983
"(Intercept)44",90,4.60344815317282,1.52976305837372,1.76769369441315,0.692743201209568,1.174586558832
"(Intercept)45",90,5.95105147657189,1.42006887409633,0.193900961596516,0.84652994093864,1.16832035662957
"(Intercept)46",90,5.16063091948251,1.50257119134502,1.01731338960498,0.717020198506815,1.43829277947841
"(Intercept)47",90,5.97900176085982,1.41788780389869,-0.443950538570175,0.899947863714781,1.3420433082715
"(Intercept)48",90,4.63309540434398,1.5123650004274,2.05092243846729,0.670984245847109,1.40290231914523
"(Intercept)49",90,4.20039552861694,1.55109453362769,1.46295546712065,0.718475426583945,1.40599281691636
